candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population,poll_id,poll_type,nb_people,start_date,end_date,folder,pdf_url,id,institut,commanditaire,mention1,mention2,mention3,mention4,mention5,mention6,mention7,nombre_mentions,question,name,surname,parti,annonce_candidature,retrait_candidature,second_round,candidate
EP,29,53,9,4,5.0,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Edouard,Philippe,Horizons,,,,Edouard Philippe
JB,5,18,18,54,5.0,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Jordan,Bardella,Rassemblement National,,,,Jordan Bardella
MLP,5,13,15,60,7.0,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Marine,Le Pen,Rassemblement National,,,,Marine Le Pen
RG,10,41,23,12,14.0,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Raphaël,Glucksmann,,,,,Raphaël Glucksmann
FH,7,30,32,23,8.0,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",François,Hollande,Parti Socialiste,,,,François Hollande
FR,7,24,33,15,21.0,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",François,Ruffin,La France Insoumise,,,,François Ruffin
NS,10,43,26,13,8.0,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Nicolas,Sarkozy,Les Républicains,,,,Nicolas Sarkozy
FRo,4,29,32,14,21.0,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Fabien,Roussel,Parti Communiste Français,,,,Fabien Roussel
GD,17,46,19,7,11.0,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Gérald,Darmanin,,,,,Gérald Darmanin
BLM,16,48,16,9,11.0,,,pt2,macron,elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,,pt2,ELABE,Les Echos,une image très positive,une image plutôt positive,une image plutôt négative,une image très négative,sans opinion,,,5,"Pour chacune des personnalités suivantes, indiquez si vous en avez une image positive ou une image négative ? ",Bruno,Le Maire,,,,,Bruno Le Maire
