personnalite,candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
Marine Tondelier,MT,60,26,6,8,,,,pt4,ecologistes
Lucie Castets,LC,44,28,6,22,,,,pt4,ecologistes
Olivier Faure,OF,27,42,10,21,,,,pt4,ecologistes
Yannick Jadot,YJ,23,42,10,25,,,,pt4,ecologistes
Sandrine Rousseau,SR,23,35,17,25,,,,pt4,ecologistes
François Ruffin,FR,33,23,5,39,,,,pt4,ecologistes
Fabien Roussel,FRo,6,43,14,37,,,,pt4,ecologistes
Raphaël Glucksmann,RG,16,32,24,28,,,,pt4,ecologistes
Jean-Luc Mélenchon,JLM,20,27,37,16,,,,pt4,ecologistes
Dominique de Villepin,DV,12,35,16,37,,,,pt4,ecologistes
