personnalite,candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
Marine Le Pen,MLP,66,25,2,7,,,,pt4,lepen
Jordan Bardella,JB,66,20,5,9,,,,pt4,lepen
Marion Maréchal,MM,24,30,17,29,,,,pt4,lepen
Jean-Philippe Tanguy,JPT,33,19,10,38,,,,pt4,lepen
Eric Ciotti,EC,23,23,26,28,,,,pt4,lepen
Bruno Retailleau,BR,20,25,26,29,,,,pt4,lepen
Eric Zemmour,EZ,19,22,31,28,,,,pt4,lepen
David Lisnard,DL,12,25,11,52,,,,pt4,lepen
Gérald Darmanin,GD,8,25,50,17,,,,pt4,lepen
François Xavier-Bellamy,FXB,7,26,21,46,,,,pt4,lepen
Fabien Roussel,FRo,3,22,48,27,,,,pt4,lepen
Laurent Wauquiez,LW,3,19,49,29,,,,pt4,lepen
Rachida Dati,RD,3,17,55,25,,,,pt4,lepen
François Ruffin,FR,7,12,48,33,,,,pt4,lepen
Michel Barnier,MBa,2,15,47,36,,,,pt4,lepen
Christian Estrosi,CE,2,11,56,31,,,,pt4,lepen
Dominique de Villepin,DV,3,9,55,33,,,,pt4,lepen
Xavier Bertrand,XB,1,10,65,24,,,,pt4,lepen
Valérie Pécresse,VP,1,9,63,27,,,,pt4,lepen
Bernard Cazeneuve,BC,0,10,51,39,,,,pt4,lepen
Gérard Larcher,GL,2,7,52,39,,,,pt4,lepen
Yaël Braun-Pivet,YBP,1,8,56,35,,,,pt4,lepen
Edouard Philippe,EP,1,8,68,23,,,,pt4,lepen
François Bayrou,FB,0,8,79,13,,,,pt4,lepen
Carole Delga,CD,1,6,38,55,,,,pt4,lepen
Gabriel Attal,GA,1,6,75,18,,,,pt4,lepen
Raphaël Glucksmann,RG,1,4,67,28,,,,pt4,lepen
Lucie Castets,LC,0,5,62,33,,,,pt4,lepen
Olivier Faure,OF,0,5,69,26,,,,pt4,lepen
François Hollande,FH,0,5,78,17,,,,pt4,lepen
Jean-Luc Mélenchon,JLM,3,1,81,15,,,,pt4,lepen
Yannick Jadot,YJ,0,3,68,29,,,,pt4,lepen
Emmanuel Macron,EM,0,2,93,5,,,,pt4,lepen
Marine Tondelier,MT,0,1,84,15,,,,pt4,lepen
Sandrine Rousseau,SR,0,1,88,11,,,,pt4,lepen
Anne Hidalgo,AH,0,1,94,5,,,,pt4,lepen
