personnalite,candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
François Xavier-Bellamy,FXB,50,34,2,14,,,,pt4,lr
Bruno Retailleau,BR,58,20,3,19,,,,pt4,lr
David Lisnard,DL,44,26,4,26,,,,pt4,lr
Michel Barnier,MBa,24,37,7,32,,,,pt4,lr
Gérald Darmanin,GD,20,37,16,27,,,,pt4,lr
Gérard Larcher,GL,19,35,14,32,,,,pt4,lr
Valérie Pécresse,VP,18,35,13,33,,,,pt4,lr
Laurent Wauquiez,LW,17,35,22,25,,,,pt4,lr
Rachida Dati,RD,16,31,14,39,,,,pt4,lr
Edouard Philippe,EP,12,31,37,20,,,,pt4,lr
