candidate,candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
Edouard Philippe,EP,27,41,15,17,,,,pt4,macron
Emmanuel Macron,EM,33,31,21,15,,,,pt4,macron
Gabriel Attal,GA,26,36,18,20,,,,pt4,macron
Gérald Darmanin,GD,19,37,17,27,,,,pt4,macron
Bernard Cazeneuve,BC,16,39,15,30,,,,pt4,macron
Raphaël Glucksmann,RG,14,37,25,24,,,,pt4,macron
Yaël Braun-Pivet,YBP,17,23,20,40,,,,pt4,macron
Rachida Dati,RD,8,30,38,24,,,,pt4,macron
Bruno Retailleau,BR,17,20,37,26,,,,pt4,macron
Michel Barnier,MBa,7,28,19,46,,,,pt4,macron
Dominique de Villepin,DV,7,28,33,32,,,,pt4,macron
Christian Estrosi,CE,6,28,27,39,,,,pt4,macron
François Bayrou,FB,10,23,35,32,,,,pt4,macron
Fabien Roussel,FRo,0,33,35,32,,,,pt4,macron
Xavier Bertrand,XB,5,25,27,43,,,,pt4,macron
François Hollande,FH,6,21,48,25,,,,pt4,macron
Carole Delga,CD,7,19,19,55,,,,pt4,macron
Yannick Jadot,YJ,2,22,42,34,,,,pt4,macron
Gérard Larcher,GL,6,16,32,46,,,,pt4,macron
Jordan Bardella,JB,7,14,69,10,,,,pt4,macron
François Ruffin,FR,1,20,43,36,,,,pt4,macron
Valérie Pécresse,VP,4,15,40,41,,,,pt4,macron
François Xavier-Bellamy,FXB,5,12,32,51,,,,pt4,macron
Laurent Wauquiez,LW,4,13,63,20,,,,pt4,macron
Marine Le Pen,MLP,3,14,71,12,,,,pt4,macron
David Lisnard,DL,6,10,21,63,,,,pt4,macron
Marion Maréchal,MM,2,10,74,14,,,,pt4,macron
Marine Tondelier,MT,1,11,61,27,,,,pt4,macron
Anne Hidalgo,AH,2,9,65,24,,,,pt4,macron
Olivier Faure,OF,1,9,55,35,,,,pt4,macron
Jean-Philippe Tanguy,JPT,2,7,50,41,,,,pt4,macron
Eric Ciotti,EC,1,6,79,14,,,,pt4,macron
Jean-Luc Mélenchon,JLM,0,7,78,15,,,,pt4,macron
Sandrine Rousseau,SR,0,6,76,18,,,,pt4,macron
Lucie Castets,LC,1,3,57,39,,,,pt4,macron
Eric Zemmour,EZ,0,4,87,9,,,,pt4,macron
