personnalite,candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
Raphaël Glucksmann,RG,54,31,3,12,,,,pt4,pspp
Fabien Roussel,FRo,8,64,8,20,,,,pt4,pspp
François Ruffin,FR,18,35,7,40,,,,pt4,pspp
François Hollande,FH,14,38,20,28,,,,pt4,pspp
Yannick Jadot,YJ,13,38,12,37,,,,pt4,pspp
Marine Tondelier,MT,16,35,23,26,,,,pt4,pspp
Olivier Faure,OF,23,26,21,30,,,,pt4,pspp
Carole Delga,CD,18,30,10,42,,,,pt4,pspp
Bernard Cazeneuve,BC,20,27,17,36,,,,pt4,pspp
Lucie Castets,LC,16,28,20,36,,,,pt4,pspp
