personnalite,candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
Marine Le Pen,MLP,75,22,1,2,,,,pt4,rn
Jordan Bardella,JB,75,17,1,7,,,,pt4,rn
Eric Ciotti,EC,33,35,10,22,,,,pt4,rn
Marion Maréchal,MM,35,32,7,26,,,,pt4,rn
Jean-Philippe Tanguy,JPT,41,24,7,28,,,,pt4,rn
Bruno Retailleau,BR,28,33,18,21,,,,pt4,rn
Eric Zemmour,EZ,30,27,15,28,,,,pt4,rn
David Lisnard,DL,17,32,12,39,,,,pt4,rn
François Xavier-Bellamy,FXB,11,33,23,33,,,,pt4,rn
Gérald Darmanin,GD,7,28,48,17,,,,pt4,rn
