personnalite,candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4
Sébastien Lecornu,SL,40,38,5,17
Gabriel Attal,GA,20,42,19,19
Bernard Cazeneuve,BC,12,46,17,25
Raphaël Glucksmann,RG,18,36,22,24
Edouard Philippe,EP,20,33,26,21
Gérald Darmanin,GD,15,38,21,26
Emmanuel Macron,EM,25,27,25,23
Yaël Braun-Pivet,YBP,18,30,17,35
Michel Barnier,MBa,10,29,23,38
Carole Delga,,8,26,18,48
Xavier Bertrand,XB,4,26,34,36
Fabien Roussel,FRo,0,30,36,34
Rachida Dati,RD,5,23,48,24
François Bayrou,FB,6,21,41,32
Bruno Retailleau,BR,8,18,56,18
François Hollande,FH,5,21,52,22
Dominique de Villepin,DV,6,18,46,30
Gérard Larcher,GL,4,19,32,45
Yannick Jadot,YJ,1,22,42,35
Valérie Pécresse,VP,1,20,45,34
Christian Estrosi,CE,3,17,46,34
François Ruffin,FR,3,15,51,31
François Xavier-Bellamy,FXB,4,13,47,36
David Lisnard,DL,5,11,31,53
Marine Le Pen,MLP,5,9,80,6
Laurent Wauquiez,LW,1,12,69,18
Jordan Bardella,JB,6,7,78,9
Olivier Faure,OF,3,8,56,33
Marine Tondelier,MT,1,9,70,20
Anne Hidalgo,AH,1,9,70,20
Marion Maréchal,MM,2,5,80,13
Eric Ciotti,EC,2,5,85,8
Eric Zemmour,EZ,1,4,86,9
Lucie Castets,,0,5,63,32
Sandrine Rousseau,SR,0,5,83,12
Jean-Luc Mélenchon,JLM,1,1,76,22
