candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
GA,14,58,14,4,,,,pt2,macron
EP,21,49,13,7,,,,pt2,macron
GD,11,48,18,10,13,,,pt2,macron
BR,13,37,21,10,19,,,pt2,macron
BC,6,35,24,15,20,,,pt2,macron
RG,4,35,22,16,23,,,pt2,macron
EB,8,29,17,7,39,,,pt2,macron
DV,31,28,15,20,,,,pt2,macron
YBP,30,14,10,41,,,,pt2,macron
XB,10,22,26,31,11,,,pt2,macron
SL,5,23,23,22,27,,,pt2,macron
NS,6,16,21,31,26,,,pt2,macron
