candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
FR,16,34,17,15,18,,,pt2,left
FRo,5,41,23,15,16,,,pt2,left
RG,12,32,19,18,19,,,pt2,left
MT,10,31,17,16,26,,,pt2,left
JLM,18,21,22,34,5,,,pt2,left
FH,7,32,21,27,13,,,pt2,left
OF,2,36,22,19,21,,,pt2,left
DV,7,24,23,30,16,,,pt2,left
EP,3,26,29,35,7,,,pt2,left
GA,2,22,30,39,7,,,pt2,left
JLB,5,18,24,28,25,,,pt2,left
BC,3,19,25,30,23,,,pt2,left
SL,2,20,26,42,10,,,pt2,left
XB,3,18,24,39,16,,,pt2,left
GD,3,15,18,57,7,,,pt2,left
BR,4,12,12,60,12,,,pt2,left
YBP,2,14,20,37,27,,,pt2,left
JB,4,10,9,75,2,,,pt2,left
EB,1,13,23,57,6,,,pt2,left
RD,2,10,15,62,11,,,pt2,left
LW,1,11,11,59,18,,,pt2,left
FBa,1,10,23,36,30,,,pt2,left
SK,2,8,8,39,43,,,pt2,left
FB,1,9,24,58,8,,,pt2,left
GL,3,6,20,49,22,,,pt2,left
MLP,2,7,13,73,5,,,pt2,left
NS,1,8,15,69,7,,,pt2,left
MM,2,5,12,75,6,,,pt2,left
EC,1,4,11,71,13,,,pt2,left
EZ,2,2,3,89,4,,,pt2,left
