candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,9,24,14,33,20,,,pt2,absentionists
EP,2,26,22,26,24,,,pt2,absentionists
MLP,6,20,19,35,20,,,pt2,absentionists
GA,3,20,24,26,27,,,pt2,absentionists
GD,1,20,23,24,32,,,pt2,absentionists
NS,3,16,18,40,23,,,pt2,absentionists
FH,3,16,27,32,22,,,pt2,absentionists
BR,4,14,23,25,34,,,pt2,absentionists
MM,4,13,18,37,28,,,pt2,absentionists
DV,1,15,19,25,40,,,pt2,absentionists
FRo,15,19,23,43,,,,pt2,absentionists
XB,15,21,24,40,,,,pt2,absentionists
EC,1,13,21,30,35,,,pt2,absentionists
FR,2,11,19,22,46,,,pt2,absentionists
LW,2,11,21,29,37,,,pt2,absentionists
BC,1,12,16,27,44,,,pt2,absentionists
LN,3,9,11,21,56,,,pt2,absentionists
RG,1,11,22,22,44,,,pt2,absentionists
GL,1,10,16,31,42,,,pt2,absentionists
OF,11,18,25,46,,,,pt2,absentionists
RD,11,25,34,30,,,,pt2,absentionists
FB,11,22,43,24,,,,pt2,absentionists
SK,5,5,14,22,54,,,pt2,absentionists
EZ,1,9,17,53,20,,,pt2,absentionists
YBP,1,8,15,24,52,,,pt2,absentionists
JLM,9,19,55,17,,,,pt2,absentionists
MT,8,16,30,46,,,,pt2,absentionists
JNB,1,6,12,20,61,,,pt2,absentionists
DL,2,4,13,18,63,,,pt2,absentionists
JPF,1,4,13,15,67,,,pt2,absentionists
