candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,61,30,5,2,2,,,pt2,farright
MLP,49,41,5,3,2,,,pt2,farright
MM,29,43,10,8,10,,,pt2,farright
EC,10,39,16,17,18,,,pt2,farright
EZ,18,28,20,25,9,,,pt2,farright
NS,11,32,22,28,7,,,pt2,farright
SK,22,13,7,20,38,,,pt2,farright
BR,12,23,18,24,23,,,pt2,farright
GD,6,24,22,31,17,,,pt2,farright
EP,3,19,26,38,14,,,pt2,farright
DV,3,18,18,39,22,,,pt2,farright
RD,3,18,26,44,9,,,pt2,farright
XB,3,16,23,38,20,,,pt2,farright
GA,2,17,22,48,11,,,pt2,farright
JLB,3,15,25,31,26,,,pt2,farright
LW,1,17,29,34,19,,,pt2,farright
DL,5,10,8,24,53,,,pt2,farright
GL,1,12,20,38,29,,,pt2,farright
BC,1,10,27,36,26,,,pt2,farright
LN,2,8,15,34,41,,,pt2,farright
FH,1,9,24,58,8,,,pt2,farright
FR,9,20,40,31,,,,pt2,farright
RG,2,6,17,50,25,,,pt2,farright
FRo,1,7,23,40,29,,,pt2,farright
FB,1,7,19,62,11,,,pt2,farright
YBP,7,20,34,39,,,,pt2,farright
MT,1,5,13,54,27,,,pt2,farright
JNB,5,10,38,47,,,,pt2,farright
OF,4,20,43,33,,,,pt2,farright
JLM,1,2,7,85,5,,,pt2,farright
JPF,3,9,24,64,,,,pt2,farright
