candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,19,20,10,39,12,,,pt2,all
MLP,13,21,15,39,12,,,pt2,all
EP,5,27,24,26,18,,,pt2,all
GA,4,27,23,29,17,,,pt2,all
GD,5,25,21,30,19,,,pt2,all
MM,9,18,15,42,16,,,pt2,all
BR,6,20,19,30,25,,,pt2,all
NS,6,17,23,40,14,,,pt2,all
RG,4,19,17,29,31,,,pt2,all
XB,3,20,24,25,28,,,pt2,all
FH,3,20,25,35,17,,,pt2,all
EC,6,16,18,38,22,,,pt2,all
BC,3,19,24,25,29,,,pt2,all
DV,3,19,24,29,25,,,pt2,all
FR,4,15,19,30,32,,,pt2,all
FRo,3,16,22,27,32,,,pt2,all
RD,3,16,24,39,18,,,pt2,all
SK,9,8,9,28,46,,,pt2,all
EZ,6,11,12,60,11,,,pt2,all
OF,2,14,21,29,34,,,pt2,all
YBP,3,12,16,27,42,,,pt2,all
LW,2,13,25,34,26,,,pt2,all
MT,2,12,14,36,36,,,pt2,all
GL,2,12,18,35,33,,,pt2,all
JLM,5,8,13,63,11,,,pt2,all
JNB,2,10,13,21,54,,,pt2,all
FB,1,11,26,44,18,,,pt2,all
DL,3,8,12,20,57,,,pt2,all
AdM,2,8,15,23,52,,,pt2,all
AB,1,9,18,28,44,,,pt2,all
