candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
MEL,8,42,24,6,11,9,,pt3,all
EP,9,40,28,15,5,3,,pt3,all
JLB,8,40,26,7,12,7,,pt3,all
DV,11,36,31,11,6,5,,pt3,all
SL,5,42,29,14,6,4,,pt3,all
FH,10,35,32,21,2,0,,pt3,all
JB,19,25,18,34,3,1,,pt3,all
NS,8,35,28,28,1,0,,pt3,all
GA,7,36,34,16,3,4,,pt3,all
SRo,6,35,33,17,6,3,,pt3,all
GD,7,33,29,23,5,3,,pt3,all
MBa,3,37,32,11,10,7,,pt3,all
XB,5,35,27,13,12,8,,pt3,all
MLP,17,23,22,37,1,0,,pt3,all
BC,4,35,27,15,12,7,,pt3,all
MM,12,27,20,33,5,3,,pt3,all
FR,7,31,26,10,15,11,,pt3,all
BR,6,32,26,21,10,5,,pt3,all
RM,10,28,21,17,12,12,,pt3,all
EC,10,28,24,26,7,5,,pt3,all
FRo,3,34,26,10,17,10,,pt3,all
LW,5,32,31,17,8,7,,pt3,all
BLM,4,33,31,19,8,5,,pt3,all
RD,7,29,32,25,5,2,,pt3,all
CT,3,32,24,5,21,15,,pt3,all
RG,5,29,24,15,15,12,,pt3,all
VP,2,31,35,20,7,5,,pt3,all
HM,2,31,22,6,24,15,,pt3,all
YJ,3,30,26,10,19,12,,pt3,all
AH,4,29,35,24,5,3,,pt3,all
EG,3,29,26,6,21,15,,pt3,all
EB,3,29,33,27,5,3,,pt3,all
SK,10,22,17,22,16,13,,pt3,all
GL,3,29,29,15,12,12,,pt3,all
LN,3,28,25,9,19,16,,pt3,all
EM,6,25,31,38,0,0,,pt3,all
OF,3,28,27,14,16,12,,pt3,all
CA,5,25,21,11,22,16,,pt3,all
RH,9,21,18,20,17,15,,pt3,all
CV,3,27,29,7,21,13,,pt3,all
FXB,4,26,29,9,19,13,,pt3,all
MT,4,25,20,16,21,14,,pt3,all
SR,4,25,23,23,14,11,,pt3,all
BP,3,26,26,7,22,16,,pt3,all
CE,2,26,33,18,13,8,,pt3,all
JNB,2,26,26,8,21,17,,pt3,all
FB,4,23,38,28,5,2,,pt3,all
JLM,10,17,23,47,2,1,,pt3,all
YBP,3,24,27,11,19,16,,pt3,all
MB,7,20,22,20,18,13,,pt3,all
