candidate_id,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,poll_type_id,population
JB,21,16,15,8,38,2,,pt1,all
MLP,17,16,16,9,40,2,,pt1,all
EP,4,20,27,20,27,2,,pt1,all
GD,4,18,30,18,27,3,,pt1,all
BR,5,16,28,19,29,3,,pt1,all
GA,3,18,27,22,27,3,,pt1,all
MM,7,13,23,13,41,3,,pt1,all
FH,4,13,23,25,33,2,,pt1,all
RG,4,11,35,21,26,3,,pt1,all
FR,5,10,32,24,26,3,,pt1,all
FRo,3,12,32,23,27,3,,pt1,all
XB,2,13,33,23,27,2,,pt1,all
EC,3,12,24,20,39,2,,pt1,all
EZ,6,9,14,17,51,3,,pt1,all
JLM,7,8,13,13,56,3,,pt1,all
SK,7,6,37,17,31,2,,pt1,all
BC,3,10,35,26,23,3,,pt1,all
JC,2,11,32,26,27,2,,pt1,all
DV,3,10,30,25,30,2,,pt1,all
MBa,2,10,34,23,28,3,,pt1,all
MT,3,9,31,20,34,3,,pt1,all
CA,4,7,33,20,33,3,,pt1,all
OF,2,8,36,25,26,3,,pt1,all
LW,2,8,33,25,30,2,,pt1,all
BLM,1,8,28,27,33,3,,pt1,all
DL,2,6,44,23,23,2,,pt1,all
YBP,2,6,36,24,29,3,,pt1,all
FB,1,6,22,27,42,2,,pt1,all
